suON_pp1bycamkii,suON_avgactivity,suON_avgactivity_err,suOFF_pp1bycamkii,suOFF_avgactivity,suOFF_avgactivity_err,suON_intermediate_states,suOFF_intermediate_states,suON_hist_0,suOFF_hist_0,suON_hist_1,suOFF_hist_1,suON_hist_2,suOFF_hist_2,suON_hist_3,suOFF_hist_3,suON_hist_4,suOFF_hist_4,suON_hist_5,suOFF_hist_5,suON_hist_6,suOFF_hist_6,suON_hist_7,suOFF_hist_7,suON_hist_8,suOFF_hist_8,suON_hist_9,suOFF_hist_9,suON_hist_10,suOFF_hist_10,suON_hist_11,suOFF_hist_11,suON_hist_12,suOFF_hist_12
21.0,0.06567540769833217,0.06100460778526665,21.0,0.012065375766624612,0.2452890121746869,0.2453642439464144,0.09645966998329467,0.9204690861718857,1.9213024227202524,0.06640457717815268,0.0,0.012463396849524879,0.1929611353953269,0.004530624475145865,0.0,0.0032851206987681274,0.040090175245017665,0.003397968356359399,0.0,0.004894244705162185,0.009495921409161815,0.007418688600907666,0.0,0.007602588487352702,0.0020897714368753994,0.00743958631527642,0.0,0.009972389296769404,0.0006520086883051246,0.015531181318857966,0.0,0.019923880879170054,7.523177172751438e-05
22.0,0.025559512189476045,0.037540654092029675,22.0,0.010350798678492843,0.26730350039930706,0.26787526186443616,0.045076369893402364,0.9768678377102792,2.3321247381355636,0.06138912572965173,0.0,0.012881351136899961,0.22316752765249862,0.005379071678517278,0.0,0.002712523325064268,0.0,0.0020605146367591435,0.03678332092330602,0.0018557170359453545,0.0,0.0019811033221578786,0.006058665349789157,0.0033937888134856486,0.0,0.0033979683563593994,0.0,0.003878615786840741,0.0012939864737132472,0.004116849730644537,0.0,0.0034188660707281534,0.0005717614651291092
23.0,0.020672019053571453,0.02985865429007571,23.0,0.009289837795156105,0.29924691067480963,0.3003753872507223,0.03616140494369191,0.9865225817486435,2.9496246127492767,0.06064934664099784,0.0,0.010912786443363335,0.0,0.004162824702255795,0.24721160189661218,0.002528623438619233,0.0,0.002319646294931693,0.0,0.0018724352074403578,0.04552776052376744,0.0020605146367591435,0.0,0.002256953151825431,0.0,0.00198946240790538,0.006507548254429992,0.0017554080069753354,0.0,0.0027459596680542747,0.0,0.0035567909855619296,0.0011284765759127153
24.0,0.008163933245627232,0.017799837190729903,24.0,0.008433353009335167,0.28267084363751405,0.28323508192547037,0.018527077650762544,1.215630075733317,2.9667649180745292,0.06584284661592059,0.0,0.010753127905586057,0.0,0.0026932974278450154,0.2436380927395553,0.0,0.0,0.0009178276150756756,0.0,0.0011234611244642148,0.03409253122118527,0.0008576421976936641,0.0,0.0,0.0,0.0007874258774146506,0.004940219676773444,0.0006670550426506276,0.0,0.0006269314310626199,0.0,0.00010030902897001919,0.0005642382879563578
25.0,0.006071268279070006,0.011886619932947267,25.0,0.007190421259341279,0.19503084502640827,0.19587344086975644,0.011926743544535278,1.2275518038264033,2.4041265591302436,0.06052145262906105,0.0,0.007222250085841379,0.1732136312254291,0.002086427802576398,0.0,0.0,0.0,0.0010682911585307038,0.019018591892715635,0.0005717614651291091,0.0,0.0006269314310626197,0.0023171385692074427,0.0,0.0,0.00027584982966755264,0.0,3.51081601395067e-05,0.000481483339056092,2.0061805794003828e-05,0.0,2.0061805794003828e-05,0.0008425958433481611
26.0,0.0056259862113665566,0.01494604531653286,26.0,0.007359531994079194,0.19846141381718294,0.198792433612784,0.015102778174298516,1.540006905890841,2.401207566387216,0.06989031593486088,0.0,0.0,0.17305313677907708,0.009686090609917479,0.0,0.003034348126343081,0.0,0.0,0.02171690477200915,0.001222516290572109,0.0,0.0,0.003290136150216629,0.0006708166312370034,0.0,0.0003322736584631886,0.0,0.0,0.0004012361158800767,0.0001504635434550288,0.0,6.2693143106262e-06,0.00033101979560106327
27.0,0.00471806089786869,0.009247238608173645,27.0,0.006346475102141598,0.2166298866893777,0.21709381594836402,0.009642205409743096,1.5491726434129762,3.0329061840516363,0.06618515117728078,0.0,0.0,0.0,0.006676819740816902,0.19087554350132527,0.0015046354345502877,0.0,0.0,0.0,0.0005767769165776103,0.02248176111790555,0.0,0.0,0.00023823394380379555,0.0,0.00025077257242504797,0.0032725820701468757,0.0,0.0,0.00021315668656129077,0.0,0.00018181011500815978,0.00046392925898633875
28.0,0.004647330172312907,0.010156289183214439,28.0,0.005986069905105085,0.20658644516375446,0.20676198596445203,0.010281675469426963,1.551078514963406,3.0432380140355475,0.06363980956716653,0.0,0.0,0.0,0.006927592313241948,0.18360313890099883,0.0016989841781796992,0.0,0.0,0.0,0.0007460484029645175,0.019798494592957534,0.0,0.0,0.0005642382879563577,0.0,0.00021942600087191687,0.0031848116697981085,0.0,0.0,9.403971465939296e-05,0.0,3.134657155313098e-05,0.00017554080069753355
29.0,0.0038467869603406387,0.08686761908803661,29.0,0.005554612479214812,0.2554703786151438,0.2588474492571345,0.08687597817378413,2.0797906884928827,4.074485884076198,0.0,0.0,0.0768534343625297,0.0,0.0,0.0,0.007732154316438978,0.23223212023708936,0.0,0.0,0.0016550989780053165,0.0,0.0,0.0,0.00045139063036508633,0.02323825837805444,0.0,0.0,0.00017554080069753358,0.0,0.0,0.0,8.359085747501599e-06,0.0033770706419906454
30.0,0.005645276409245406,0.008384922921630237,30.0,0.005009985892435283,0.17997947522945687,0.1801926319160182,0.009023253105984905,1.1304098044710469,3.0698073680839815,0.042385124241149916,0.0,0.004185622208839891,0.0,0.0015091949358671064,0.16700199460646065,0.0006383301843546674,0.0,0.00023253456715777168,0.0,0.0,0.011397613416718428,0.00025533207374186693,0.0,0.0003556411027118861,0.0,0.0004149146198305338,0.001579867206277802,0.0007933532291265152,0.0,0.0004422716277314481,0.0,0.00019605855662321926,0.00021315668656129072
