time,mean_camkii_0.0,std_camkii_0.0,mean_camkii_1e-20,std_camkii_1e-20,mean_camkii_1e-15,std_camkii_1e-15,mean_camkii_1e-14,std_camkii_1e-14,mean_camkii_1e-13,std_camkii_1e-13,mean_camkii_1e-12,std_camkii_1e-12
5162,0.4,0.4898979485566356,0.1,0.30000000000000004,2.1,2.3853720883753127,1.5,2.0124611797498106,0.0,0.0,2.0,2.6832815729997477
5282,0.4,0.4898979485566356,0.1,0.30000000000000004,2.0,2.3664319132398464,1.5,2.0124611797498106,0.0,0.0,2.0,2.6832815729997477
5402,0.4,0.4898979485566356,0.1,0.30000000000000004,1.9,2.2561028345356955,1.6,2.0591260281974,0.0,0.0,2.0,2.6832815729997477
5522,0.4,0.4898979485566356,0.1,0.30000000000000004,2.0,2.32379000772445,1.7,2.147091055358389,0.0,0.0,2.0,2.6832815729997477
5642,0.6,0.48989794855663565,0.1,0.30000000000000004,2.3,2.3259406699226015,1.7,2.147091055358389,0.0,0.0,2.0,2.6832815729997477
5762,0.6,0.48989794855663565,0.1,0.30000000000000004,2.4,2.4576411454889016,1.7,2.147091055358389,0.0,0.0,2.0,2.6832815729997477
5882,0.4,0.4898979485566356,0.1,0.30000000000000004,2.5,2.3769728648009427,1.8,2.227105745132009,0.0,0.0,2.0,2.6832815729997477
6002,0.4,0.4898979485566356,0.1,0.30000000000000004,2.3,2.4103941586387903,1.8,2.227105745132009,0.0,0.0,2.1,2.6999999999999997
6122,0.6,0.48989794855663565,0.1,0.30000000000000004,2.4,2.4576411454889016,2.0,2.5298221281347035,0.2,0.4,2.1,2.6999999999999997
6242,0.6,0.48989794855663565,0.1,0.30000000000000004,2.2,2.4,2.1,2.6248809496813372,0.0,0.0,2.1,2.6999999999999997
6362,0.6,0.48989794855663565,0.1,0.30000000000000004,2.5,2.692582403567252,2.1,2.3853720883753127,0.0,0.0,2.1,2.6999999999999997
6482,0.7,0.6403124237432849,0.1,0.30000000000000004,2.8,2.5612496949731396,2.4,2.764054992217051,0.0,0.0,2.2,2.749545416973504
6602,0.7,0.6403124237432849,0.1,0.30000000000000004,2.8,2.6,2.3,2.8301943396169813,0.0,0.0,2.1,2.6999999999999997
6722,0.7,0.6403124237432849,0.1,0.30000000000000004,3.1,2.6248809496813377,2.5,2.6172504656604803,0.0,0.0,2.0,2.6832815729997477
6842,0.7,0.6403124237432849,0.1,0.30000000000000004,2.8,2.5219040425836985,2.3,2.6476404589747453,0.0,0.0,2.2,2.749545416973504
6962,0.7,0.6403124237432849,0.1,0.30000000000000004,3.1,2.507987240796891,2.6,2.727636339397171,0.0,0.0,2.2,2.749545416973504
7082,0.8,0.7483314773547882,0.1,0.30000000000000004,3.2,2.5219040425836985,2.6,2.727636339397171,0.2,0.6000000000000001,2.2,2.749545416973504
7202,0.7,0.6403124237432849,0.1,0.30000000000000004,3.1,2.5079872407968904,2.6,2.727636339397171,0.4,0.4898979485566356,2.3,2.8301943396169804
7322,0.8,0.7483314773547882,0.1,0.30000000000000004,3.3,2.4515301344262523,2.8,2.85657137141714,0.4,0.66332495807108,2.2,2.7129319932501077
7442,0.7,0.6403124237432849,0.1,0.30000000000000004,3.2,2.4413111231467406,2.7,2.8301943396169813,0.5,0.6708203932499369,2.2,2.7129319932501077
7562,0.8,0.7483314773547882,0.1,0.30000000000000004,3.5,2.5787593916455256,2.7,2.8301943396169813,0.4,0.66332495807108,2.3,2.8301943396169813
7682,0.8,0.7483314773547882,0.1,0.30000000000000004,3.6,2.537715508089904,2.8,2.85657137141714,0.5,0.6708203932499369,2.3,2.6476404589747453
7802,0.9,0.7,0.1,0.30000000000000004,3.6,2.537715508089904,2.7,2.758622844826744,0.6,0.7999999999999999,2.3,2.6476404589747453
7922,0.8,0.7483314773547882,0.1,0.30000000000000004,3.7,2.570992026436488,2.8,2.85657137141714,0.6,0.9165151389911679,2.3,2.8301943396169813
8042,0.8,0.7483314773547882,0.1,0.30000000000000004,3.7,2.570992026436488,2.9,2.913760456866693,0.9,1.374772708486752,2.6,2.8354893757515653
8162,0.8,0.7483314773547882,0.1,0.30000000000000004,3.8,2.638181191654584,2.8,2.85657137141714,0.9,1.374772708486752,2.7,2.8301943396169813
8282,0.8,0.7483314773547882,0.1,0.30000000000000004,3.9,2.6248809496813377,2.8,2.85657137141714,0.7,1.004987562112089,2.7,2.8301943396169813
8402,0.6,0.8,0.1,0.30000000000000004,3.9,2.5079872407968904,2.8,2.85657137141714,0.8,1.1661903789690602,2.5,2.8722813232690143
8522,0.7,0.7810249675906654,0.2,0.4000000000000001,4.1,2.3430749027719964,2.8,2.85657137141714,0.9,1.374772708486752,2.7,2.7586228448267445
8642,0.6,0.8,0.1,0.30000000000000004,4.1,2.3430749027719964,2.8,2.85657137141714,0.9,1.374772708486752,2.6,2.8354893757515653
8762,0.6,0.8,0.1,0.30000000000000004,3.9,2.5079872407968904,2.9,2.913760456866693,1.2,1.661324772583615,2.6,2.8354893757515653
8882,0.7,0.7810249675906654,0.1,0.30000000000000004,4.0,2.4899799195977463,2.9,2.913760456866693,1.1,1.445683229480096,2.7,2.8301943396169813
9002,0.7,0.7810249675906654,0.2,0.4000000000000001,3.9,2.5079872407968904,2.9,2.913760456866693,1.3,1.9000000000000001,2.8,2.749545416973504
9122,0.7,0.7810249675906654,0.3,0.45825756949558405,4.2,2.227105745132009,2.9,2.913760456866693,1.1,1.7578395831246947,2.8,2.6758176320519307
9242,0.8,0.7483314773547883,0.3,0.45825756949558405,4.3,2.238302928559939,2.9,2.913760456866693,1.3,1.7916472867168918,2.8,2.6758176320519307
9362,0.8,0.7483314773547883,0.2,0.4000000000000001,4.4,2.28910462845192,3.0,3.0,1.5,2.0124611797498106,3.0,2.6076809620810595
9482,0.7,0.7810249675906654,0.3,0.45825756949558405,4.3,2.2825424421026654,3.0,3.0,1.6,2.0591260281974,3.0,2.6076809620810595
9602,0.8,0.7483314773547883,0.4,0.48989794855663565,4.3,2.4515301344262523,3.0,3.0,1.3,1.9519221295943134,3.1,2.5865034312755126
9722,0.8,0.7483314773547883,0.3,0.45825756949558405,4.4,2.28910462845192,3.0,3.0,1.4,1.9595917942265424,3.4,2.4576411454889016
9842,0.8,0.7483314773547883,0.4,0.48989794855663565,4.4,2.28910462845192,3.0,3.0,1.6,2.0591260281974,3.5,2.4186773244895647
9962,1.0,0.6324555320336759,0.4,0.48989794855663565,4.3,2.2825424421026654,3.0,3.0,1.8,2.227105745132009,3.6,2.3323807579381204
10082,1.0,0.6324555320336759,0.3,0.45825756949558405,4.5,2.202271554554524,3.0,3.0,2.2,2.521904042583698,3.6,2.3323807579381204
10202,1.0,0.6324555320336759,0.4,0.48989794855663565,4.6,2.244994432064365,3.0,3.0,2.2,2.7129319932501077,3.7,2.2825424421026654
10322,1.0,0.6324555320336759,0.3,0.45825756949558405,4.6,2.244994432064365,3.0,3.0,2.1,2.5865034312755126,3.5,2.4596747752497685
10442,1.0,0.6324555320336759,0.3,0.45825756949558405,4.6,2.244994432064365,3.0,3.0,2.2,2.7129319932501077,3.5,2.4596747752497685
