time,mean_camkii_0.0,std_camkii_0.0,mean_camkii_1e-20,std_camkii_1e-20,mean_camkii_1e-19,std_camkii_1e-19,mean_camkii_1e-18,std_camkii_1e-18,mean_camkii_1e-17,std_camkii_1e-17,mean_camkii_1e-16,std_camkii_1e-16,mean_camkii_1e-15,std_camkii_1e-15,mean_camkii_1e-14,std_camkii_1e-14,mean_camkii_1e-13,std_camkii_1e-13,mean_camkii_1e-12,std_camkii_1e-12
3482,3.05,1.3592277219068187,3.225,1.5081031131855667,3.6,1.9078784028338918,3.775,1.5409007106234973,4.75,2.896118091514916,8.675,4.617290872362277,9.475,5.56321624602172,10.125,6.0588262064528635,11.35,4.373499742768942,7.9,5.717516943569123
3602,3.225,1.4051245496396392,3.3,1.6309506430300091,3.75,1.840516231930596,3.925,1.8081413108493485,5.25,2.9811910371527683,9.1,4.570557952810576,9.95,5.726910161684047,10.825,6.045194372392007,11.6,4.188078318274384,8.4,5.3609700614720825
3722,3.275,1.6122577337386228,3.275,1.7318703762117995,3.9,2.022374841615669,4.075,1.7086178624841775,5.55,3.2167530212933664,9.775,4.585234454201879,10.5,5.549774770204643,11.175,5.987017203917156,12.475,3.9559290944100605,9.35,5.610481262779513
3842,3.475,1.6880091824394798,3.45,1.8159019797334879,3.95,1.9098429254784277,4.275,1.7318703762117995,5.8,3.009983388658482,10.225,4.480443616429069,11.175,5.472145374530907,11.65,5.939486509791903,13.05,3.6190468358395145,9.675,5.560519310280291
3962,3.475,1.7605041891458253,3.625,1.7844817174742924,4.075,1.9670726981990267,4.175,1.6261534367949413,5.95,3.0079062485390065,10.625,4.442338910979215,11.725,5.281985895475299,11.925,6.096669172589242,13.525,4.006167120827587,10.325,5.501761081690118
4082,3.75,1.840516231930596,3.6,1.6852299546352714,4.225,1.916865931670757,4.475,1.5489916074659669,6.35,3.086664866810131,11.25,4.163832369344376,11.9,5.285830114561003,12.45,5.7530426732295314,13.85,3.574562910343026,10.875,5.409193562815071
4202,3.8,1.9000000000000001,3.825,1.7012862780849087,4.325,2.0296243494794792,4.6,1.729161646579059,6.7,3.1240998703626612,11.525,4.183225430215302,12.6,4.968903299521938,12.825,5.5357361750719285,14.075,3.594353210245203,11.725,5.43133270938174
4322,3.925,2.0419047480232764,3.875,1.7202834068838775,4.425,1.9985932552673142,4.95,1.8967076738390656,7.15,3.15079355083763,12.15,4.114304315434141,13.05,4.9190954453029265,13.3,5.33010318849457,14.8,3.108054053584011,11.875,5.235396355578057
4442,4.0,2.0,3.9,1.6401219466856727,4.45,2.0242282479997162,5.05,1.8567444627627139,7.175,3.2240308621351628,12.65,3.9846580781793564,13.325,4.961791511137888,13.525,5.305598458232587,15.25,2.7271780286589284,12.425,4.934001925415108
4562,4.125,2.051676144034433,3.975,1.5888281845435648,4.45,2.03654118544163,5.175,1.947915552584352,7.425,3.0974788134868656,13.275,3.7549134477375112,13.9,4.673328578219169,13.875,5.08029280652208,15.175,2.879995659718952,12.9,4.742362280551751
4682,4.275,2.0123058912600738,3.975,1.604485898972004,4.475,1.8572493101358254,5.25,2.0093531297410117,7.775,3.387384684384105,13.5,3.687817782917155,14.125,4.308059307855452,14.075,5.1058177601634,15.625,2.8079129260003772,13.55,4.341370751272
4802,4.425,1.9860450649469161,4.15,1.6963195453687372,4.6,1.9723082923316024,5.575,1.9734170871865886,7.85,3.4099120223255017,13.825,3.6047711439146863,14.5,4.3531597719357835,14.575,4.847099648243267,15.825,2.710050737532417,13.575,4.277192420268231
4922,4.45,1.9868316486305528,4.35,1.7684739183827396,4.775,2.043128728200942,5.75,2.165063509461097,8.225,3.6296521871936984,14.0,3.478505426185217,14.85,4.20446191563201,14.8,4.6808118953873805,16.225,2.127057827140579,14.1,4.029888335921978
5042,4.65,2.0682117879946436,4.475,1.7318703762117995,4.85,2.019282050630867,5.85,2.197157254271983,8.475,3.5425097035858633,14.3,3.203123475609394,14.9,4.054626986542659,15.05,4.4042593020847445,16.525,1.5966762351835768,14.475,4.068092304754159
5162,4.75,2.0463381929681126,4.55,1.7741194999210173,5.0,2.0124611797498106,5.925,2.0662465970933863,8.95,3.5563323804166562,14.525,3.170074920250309,15.375,3.883860836847788,15.3,4.075536774462967,16.7,1.6155494421403511,14.525,3.694506056294941
